Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-04,146.6873283001229,148.3206574580291,146.53138072676785,146.736572265625,2980500,0.0,0.0
2015-02-05,147.27828305911362,149.05114098615664,147.10591665347144,148.36990356445312,2434400,0.0,0.0
2015-02-06,149.4204671720673,151.52982948246415,148.67356703451543,150.55311584472656,3250900,0.0,0.0
2015-02-09,149.12502296267738,150.1591839359833,148.6818021713326,149.56002807617188,2421900,0.0,0.0
2015-02-10,150.48748600221396,151.6775944733784,149.66671981190768,151.48060607910156,2556300,0.0,0.0
2015-02-11,151.07840755629528,154.4599595564972,150.8157564180022,154.01673889160156,4079600,0.0,0.0
2015-02-12,154.5092130427029,155.94555366859788,153.81155687199538,155.76498413085938,3086700,0.0,0.0
2015-02-13,155.8389254914173,157.03725004690534,154.58315379551746,155.12486267089844,2720400,0.0,0.0
2015-02-17,154.94423580209065,156.4626582186177,154.55847470219237,155.9619903564453,2123300,0.0,0.0
2015-02-18,155.56799006106442,155.97837308198766,154.15628399107274,154.8539276123047,1850700,0.0,0.0
2015-02-19,154.04140092133284,155.82247467171265,153.70489628325956,155.21510314941406,1470400,0.0,0.0
2015-02-20,154.59132474944224,157.29164014120556,153.52432614345807,157.1849365234375,2317100,0.0,0.0
2015-02-23,156.55293288922934,156.55293288922934,155.34640570130773,156.1999969482422,1691100,0.0,0.0
2015-02-24,155.97017472818348,158.63766444624278,155.68290159514166,157.7676544189453,2627300,0.0,0.0
2015-02-25,157.21772531517223,157.95640968451977,156.32309340645475,157.3572540283203,2775700,0.0,0.0
2015-02-26,156.85502395171594,158.4687812815873,156.43512366883536,158.24647521972656,2449300,0.6,0.0
2015-02-27,157.41484824639258,158.49342486784735,156.2621612548828,156.2621612548828,2572400,0.0,0.0
2015-03-02,156.43512699228882,158.01594361009893,156.25399057703012,157.90890502929688,1659400,0.0,0.0
2015-03-03,157.0114625201441,158.79811480973282,156.9044365038516,157.48077392578125,1487800,0.0,0.0
2015-03-04,156.72331656065546,157.11028870530615,155.59532831289678,156.16343688964844,1648500,0.0,0.0
2015-03-05,156.54214620873222,157.02791536992072,155.6694049867428,156.5009765625,1330100,0.0,0.0
2015-03-06,154.44267526764511,157.58783886892016,153.61933230059074,153.8910369873047,4103600,0.0,0.0
2015-03-09,154.21207661354046,155.43884908782266,153.61104001328104,154.73077392578125,2233700,0.0,0.0
2015-03-10,152.80418685473347,153.25702790624396,150.43296813964844,150.43296813964844,2768500,0.0,0.0
2015-03-11,150.91873167865353,153.01001677867185,150.6799552408636,151.6432647705078,2098600,0.0,0.0
2015-03-12,153.09236647820595,156.43513632858668,153.09236647820595,156.3939666748047,3114800,0.0,0.0
2015-03-13,155.50475150953125,156.22106829263387,153.2734995441071,155.8917236328125,3095100,0.0,0.0
2015-03-16,156.4680328406874,158.48523239874393,156.35276537135948,157.99945068359375,2127700,0.0,0.0
2015-03-17,157.23376627945905,157.4560723400927,155.4471140160573,156.90443420410156,1883200,0.0,0.0
2015-03-18,156.16342520992458,158.93808638734473,155.77645309421618,158.3452911376953,2790100,0.0,0.0
2015-03-19,157.88420897530727,157.88420897530727,155.68588523237236,156.41043090820312,2097100,0.0,0.0
2015-03-20,156.8220669113624,159.6625963847377,156.3527555963747,159.0121612548828,3473800,0.0,0.0
2015-03-23,159.1274508533773,159.93432320047285,158.0488739013672,158.0488739013672,1590500,0.0,0.0
2015-03-24,158.0324076370399,158.50170646629965,157.39020130444456,157.48899841308594,1799100,0.0,0.0
2015-03-25,157.3243458064511,157.4478422027942,154.25328063964844,154.25328063964844,2542000,0.0,0.0
2015-03-26,153.56995746996296,154.76380244408088,152.33494282848542,154.1627655029297,2377200,0.0,0.0
2015-03-27,154.12155582156626,155.18366260966994,153.36408187903973,154.83786010742188,1539600,0.0,0.0
2015-03-30,155.809368680515,158.08178988738996,155.76819903508945,157.27491760253906,2403800,0.0,0.0
2015-03-31,156.71505114675145,156.88795864668873,154.76373291015625,154.76373291015625,2146600,0.0,0.0
2015-04-01,154.739088952987,158.35356430274737,153.9322163123181,158.27122497558594,4031400,0.0,0.0
2015-04-02,157.8594841000584,158.68282675701224,157.13495110492315,157.71128845214844,2296300,0.0,0.0
2015-04-06,156.58328094397666,158.60870915533545,155.57057311990246,158.12294006347656,1997000,0.0,0.0
2015-04-07,158.50994690100126,159.43208674421217,158.27941194019854,158.4029083251953,1778000,0.0,0.0
